id,text,label,toxicity_score,splited_text,rationales
10675,"@user puts sim??? como o povo baba ovo dele, é feio chato quem aguenta pqp",obscene,5.0,"['@user', 'puts', 'sim', '?', '?', '?', 'como', 'o', 'povo', 'baba', 'ovo', 'dele', ',', 'é', 'feio', 'chato', 'quem', 'aguenta', 'pqp']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
12022,"@user @user É nessas horas que a gente pega o viado com a boca na piroca... não, botija...

""Vai fundo rapaz""?

""Sejes"" homi!

🤣🤣🤣🤣",homophobia,8.0,"['@user', '@user', 'É', 'nessas', 'horas', 'que', 'a', 'gente', 'pega', 'o', 'viado', 'com', 'a', 'boca', 'na', 'piroca', '...', 'não', ',', 'botija', '...', '\n\n', '""', 'Vai', 'fundo', 'rapaz', '""', '?', '\n\n', '""', 'Sejes', '""', 'homi', '!', '\n\n', '🤣', '🤣', '🤣', '🤣']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3766,eu ai me agarrava nessa infeliz e descia unhada e tapa nela vsf fã coreana nao tem um pingo de simancol,insult,8.0,"['eu', 'ai', 'me', 'agarrava', 'nessa', 'infeliz', 'e', 'descia', 'unhada', 'e', 'tapa', 'nela', 'vsf', 'fã', 'coreana', 'nao', 'tem', 'um', 'pingo', 'de', 'simancol']","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
13173,"a quantidade de incêndios a acontecerem é absurdo. aos filhos da puta que põem fogos, só espero q um dia ardam vivos lá no meio também",obscene,6.0,"['a', 'quantidade', 'de', 'incêndios', 'a', 'acontecerem', 'é', 'absurdo', '.', 'aos', 'filhos', 'da', 'puta', 'que', 'põem', 'fogos', ',', 'só', 'espero', 'q', 'um', 'dia', 'ardam', 'vivos', 'lá', 'no', 'meio', 'também']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
19576,"ja comeu cu ? — já msm, mas e difícil achar uma que dá o precioso kkkkkk https://t.co/zxcewkuupz",obscene,3.0,"['ja', 'comeu', 'cu', '?', '—', 'já', 'msm', ',', 'mas', 'e', 'difícil', 'achar', 'uma', 'que', 'dá', 'o', 'precioso', 'kkkkkk', 'https://t.co/zxcewkuupz']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14407,se definido for barriga tanquinho então tenho 9/10 mas fodasse . duvido que pica grossa não dê ao menos 1 ponto :v,obscene,3.0,"['se', 'definido', 'for', 'barriga', 'tanquinho', 'então', 'tenho', '9/10', 'mas', 'fodasse', '.', 'duvido', 'que', 'pica', 'grossa', 'não', 'dê', 'ao', 'menos', '1', 'ponto', ':', 'v']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
13128,"rt @user chupar esse picolé = r$8,00
chupar meu pau = diamante no free fire https://t.co/sw5tobaxjk",obscene,2.0,"['rt', '@user', 'chupar', 'esse', 'picolé', '=', 'r$', '8,00', '\n', 'chupar', 'meu', 'pau', '=', 'diamante', 'no', 'free', 'fire', 'https://t.co/sw5tobaxjk']","[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
12173,"E te aceitou também, seu abostado. Se não fosse por Bolsonaro e o PSL, tu ainda estaria te drogando, e dando o bôcu em filme pornô. https://t.co/s0miHXBWZU",obscene,7.0,"['E', 'te', 'aceitou', 'também', ',', 'seu', 'abostado', '.', 'Se', 'não', 'fosse', 'por', 'Bolsonaro', 'e', 'o', 'PSL', ',', 'tu', 'ainda', 'estaria', 'te', 'drogando', ',', 'e', 'dando', 'o', 'bôcu', 'em', 'filme', 'pornô', '.', 'https://t.co/s0miHXBWZU']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
15308,caralho que vizinhos insuportáveis puta merda,insult,4.0,"['caralho', 'que', 'vizinhos', 'insuportáveis', 'puta', 'merda']","[0, 0, 0, 0, 1, 1]"
12890,"@user Mas eu falei direito... Não te xinguei e vc com esse mimimi tem que tomar no seu cu... Pra que ficar de babaquice então ?? Se mata porra, não tá satisfeita ??",obscene,6.0,"['@user', 'Mas', 'eu', 'falei', 'direito', '...', 'Não', 'te', 'xinguei', 'e', 'vc', 'com', 'esse', 'mimimi', 'tem', 'que', 'tomar', 'no', 'seu', 'cu', '...', 'Pra', 'que', 'ficar', 'de', 'babaquice', 'então', '?', '?', 'Se', 'mata', 'porra', ',', 'não', 'tá', 'satisfeita', '?', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
2202,@user teu cu seu gay kkkkk,homophobia,7.0,"['@user', 'teu', 'cu', 'seu', 'gay', 'kkkkk']","[0, 0, 1, 0, 1, 0]"
2306,eu aí gay putinha aborteira rs,homophobia,8.0,"['eu', 'aí', 'gay', 'putinha', 'aborteira', 'rs']","[0, 0, 1, 1, 1, 0]"
6475,tetinha de brigadeiro toda vez que eu passo do seu lado sinto um cheirinho de cachorro morto se enxerga porra quero mais é que voce se foda filha de um saco de adubo cadela sarnenta eu espero que voce se foda se foda,insult,7.0,"['tetinha', 'de', 'brigadeiro', 'toda', 'vez', 'que', 'eu', 'passo', 'do', 'seu', 'lado', 'sinto', 'um', 'cheirinho', 'de', 'cachorro', 'morto', 'se', 'enxerga', 'porra', 'quero', 'mais', 'é', 'que', 'voce', 'se', 'foda', 'filha', 'de', 'um', 'saco', 'de', 'adubo', 'cadela', 'sarnenta', 'eu', 'espero', 'que', 'voce', 'se', 'foda', 'se', 'foda']","[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
19616,ai vai toma no cu moro eu fico indignada quando nego ta na tpm ou seja lá o q for e vem de putaria pro meu lado falta derrubar sangue na minha boca por nada se fude ninguem tem culpa se a vaginilda ta sangrando,obscene,6.0,"['ai', 'vai', 'toma', 'no', 'cu', 'moro', 'eu', 'fico', 'indignada', 'quando', 'nego', 'ta', 'na', 'tpm', 'ou', 'seja', 'lá', 'o', 'q', 'for', 'e', 'vem', 'de', 'putaria', 'pro', 'meu', 'lado', 'falta', 'derrubar', 'sangue', 'na', 'minha', 'boca', 'por', 'nada', 'se', 'fude', 'ninguem', 'tem', 'culpa', 'se', 'a', 'vaginilda', 'ta', 'sangrando']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0]"
2139,"@user Isso mesmo. Chamem negros de neguim,  mandem todos tomar no cu, digam que só tem puta, e não esqueçam de falar das mocreias. Ah e tem que chamar todo mundo de analfabeto funcional com toxoplasmose.  A não ser os que acreditam em terra plana e pezao.",racism,7.0,"['@user', 'Isso', 'mesmo', '.', 'Chamem', 'negros', 'de', 'neguim', ',', ' ', 'mandem', 'todos', 'tomar', 'no', 'cu', ',', 'digam', 'que', 'só', 'tem', 'puta', ',', 'e', 'não', 'esqueçam', 'de', 'falar', 'das', 'mocreias', '.', 'Ah', 'e', 'tem', 'que', 'chamar', 'todo', 'mundo', 'de', 'analfabeto', 'funcional', 'com', 'toxoplasmose', '.', ' ', 'A', 'não', 'ser', 'os', 'que', 'acreditam', 'em', 'terra', 'plana', 'e', 'pezao', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11238,"porra, relembrar os tempos do ask é pedir pra me deixar triste. tanta galera massa que conheci e perdi o contato, infelizmente.",obscene,2.0,"['porra', ',', 'relembrar', 'os', 'tempos', 'do', 'ask', 'é', 'pedir', 'pra', 'me', 'deixar', 'triste', '.', 'tanta', 'galera', 'massa', 'que', 'conheci', 'e', 'perdi', 'o', 'contato', ',', 'infelizmente', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2067,penah de você gata kkkkk bai dar o cu que passa,obscene,7.0,"['penah', 'de', 'você', 'gata', 'kkkkk', 'bai', 'dar', 'o', 'cu', 'que', 'passa']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
187,eu tambem tiro foto com viados e simpatizo mas isso nao quer dizer nada se eu pudesse ainda metia uma surra,homophobia,7.0,"['eu', 'tambem', 'tiro', 'foto', 'com', 'viados', 'e', 'simpatizo', 'mas', 'isso', 'nao', 'quer', 'dizer', 'nada', 'se', 'eu', 'pudesse', 'ainda', 'metia', 'uma', 'surra']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
9577,@user @user @user paga nada seu burro,insult,2.0,"['@user', '@user', '@user', 'paga', 'nada', 'seu', 'burro']","[0, 0, 0, 0, 0, 0, 1]"
10546,"És bue magro
Nao te dao comida em casa
Se vem o vento desapareces
Se fosses mais gordo
Tens de comer mais
Entra num ginasio
So precisavas de engordar uma becka
Come comida como comes gajas

VAO PO CARALHO FILHOS DA PUTA https://t.co/TfFLRzJydU",obscene,7.0,"['És', 'bue', 'magro', '\n', 'Nao', 'te', 'dao', 'comida', 'em', 'casa', '\n', 'Se', 'vem', 'o', 'vento', 'desapareces', '\n', 'Se', 'fosses', 'mais', 'gordo', '\n', 'Tens', 'de', 'comer', 'mais', '\n', 'Entra', 'num', 'ginasio', '\n', 'So', 'precisavas', 'de', 'engordar', 'uma', 'becka', '\n', 'Come', 'comida', 'como', 'comes', 'gajas', '\n\n', 'VAO', 'PO', 'CARALHO', 'FILHOS', 'DA', 'PUTA', 'https://t.co/TfFLRzJydU']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
552,"O que ela faz com o corno não chega aos pés do que ela pede pro amante...
#corno #namoradaputa #hotwife #esposasafada #cuckold https://t.co/f5Mpzzt85o",obscene,7.0,"['O', 'que', 'ela', 'faz', 'com', 'o', 'corno', 'não', 'chega', 'aos', 'pés', 'do', 'que', 'ela', 'pede', 'pro', 'amante', '...', '\n', '#', 'corno', '#', 'namoradaputa', '#', 'hotwife', '#', 'esposasafada', '#', 'cuckold', 'https://t.co/f5Mpzzt85o']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
11691,@user vc fica demente,insult,3.0,"['@user', 'vc', 'fica', 'demente']","[0, 0, 0, 1]"
13410,"não adianta tu dar uma de superado e ficar postando indiretinha p mim, retardado",insult,3.0,"['não', 'adianta', 'tu', 'dar', 'uma', 'de', 'superado', 'e', 'ficar', 'postando', 'indiretinha', 'p', 'mim', ',', 'retardado']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1626,"@user rala rolas
abraço hetero é um cara ralando a rola na rola do outro",generic-toxicity,3.0,"['@user', 'rala', 'rolas', '\n', 'abraço', 'hetero', 'é', 'um', 'cara', 'ralando', 'a', 'rola', 'na', 'rola', 'do', 'outro']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
11089,é foda demais quando vc abre os olhos e enxerga coisas que porra já estavam na sua cara a séculos !,obscene,2.0,"['é', 'foda', 'demais', 'quando', 'vc', 'abre', 'os', 'olhos', 'e', 'enxerga', 'coisas', 'que', 'porra', 'já', 'estavam', 'na', 'sua', 'cara', 'a', 'séculos', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12198,@user @user @user @user O que vagabundo? Tu ta em rede social fela da puta.... falou tem resposta. Seu pau no cu,obscene,6.0,"['@user', '@user', '@user', '@user', 'O', 'que', 'vagabundo', '?', 'Tu', 'ta', 'em', 'rede', 'social', 'fela', 'da', 'puta', '....', 'falou', 'tem', 'resposta', '.', 'Seu', 'pau', 'no', 'cu']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
9293,quem é burro é ele!,insult,2.0,"['quem', 'é', 'burro', 'é', 'ele', '!']","[0, 0, 1, 0, 0, 0]"
11565,foi mexer com o negão tomou no cu,generic-toxicity,6.0,"['foi', 'mexer', 'com', 'o', 'negão', 'tomou', 'no', 'cu']","[0, 0, 0, 0, 0, 1, 1, 1]"
19504,"porraa até deu vontade de dar mas uns 5 soco na cara desse fdp ! 

se fudeu 😂😂😂",obscene,6.0,"['porraa', 'até', 'deu', 'vontade', 'de', 'dar', 'mas', 'uns', '5', 'soco', 'na', 'cara', 'desse', 'fdp', '!', '\n\n', 'se', 'fudeu', '😂', '😂', '😂']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
12831,"rt @user gosto de prioridade, segunda opção vc enfia no cu.",obscene,4.0,"['rt', '@user', 'gosto', 'de', 'prioridade', ',', 'segunda', 'opção', 'vc', 'enfia', 'no', 'cu', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
10840,@user caraí adoro cheiro de rola.,obscene,2.0,"['@user', 'caraí', 'adoro', 'cheiro', 'de', 'rola', '.']","[0, 0, 0, 0, 0, 1, 0]"
11634,"sco pa tu manaa é o caralho mermão
ou tu escolta ou tu mama porra",obscene,4.0,"['sco', 'pa', 'tu', 'manaa', 'é', 'o', 'caralho', 'mermão', '\n', 'ou', 'tu', 'escolta', 'ou', 'tu', 'mama', 'porra']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]"
11242,e o meu beirute que não chega nesse caraio,obscene,2.0,"['e', 'o', 'meu', 'beirute', 'que', 'não', 'chega', 'nesse', 'caraio']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
10974,@user vai a merda piranha grávida,insult,8.0,"['@user', 'vai', 'a', 'merda', 'piranha', 'grávida']","[0, 1, 1, 1, 1, 0]"
11558,@user vtnc. petista de merda!!,obscene,6.0,"['@user', 'vtnc', '.', 'petista', 'de', 'merda', '!', '!']","[0, 1, 0, 0, 1, 1, 0, 0]"
14210,"Eu prefiro me prevenir pra n acontecer de engravidar sabendo que n vou poder da uma vida boa aos meus filhos. Na hora de transar as vaca quer tudo no pelo, sentir um leitinho quente no útero, dps que passa aperto fica pedindo a liberação do aborto pq as bonita não pode prevenir",obscene,8.0,"['Eu', 'prefiro', 'me', 'prevenir', 'pra', 'n', 'acontecer', 'de', 'engravidar', 'sabendo', 'que', 'n', 'vou', 'poder', 'da', 'uma', 'vida', 'boa', 'aos', 'meus', 'filhos', '.', 'Na', 'hora', 'de', 'transar', 'as', 'vaca', 'quer', 'tudo', 'no', 'pelo', ',', 'sentir', 'um', 'leitinho', 'quente', 'no', 'útero', ',', 'dps', 'que', 'passa', 'aperto', 'fica', 'pedindo', 'a', 'liberação', 'do', 'aborto', 'pq', 'as', 'bonita', 'não', 'pode', 'prevenir']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11115,"EU MANDO E EU TAMBÉM RECEBO NUDES

EU adoro receber e eu também adoro mandar nudes, meu número de whatsapp é 21… — Nossa q interessante,pra um tarado sim mas pra um ser humano convencional eu acho q não e tbm vtnc https://t.co/v3QR0U8GPU",obscene,4.0,"['EU', 'MANDO', 'E', 'EU', 'TAMBÉM', 'RECEBO', 'NUDES', '\n\n', 'EU', 'adoro', 'receber', 'e', 'eu', 'também', 'adoro', 'mandar', 'nudes', ',', 'meu', 'número', 'de', 'whatsapp', 'é', '21', '…', '—', 'Nossa', 'q', 'interessante', ',', 'pra', 'um', 'tarado', 'sim', 'mas', 'pra', 'um', 'ser', 'humano', 'convencional', 'eu', 'acho', 'q', 'não', 'e', 'tbm', 'vtnc', 'https://t.co/v3QR0U8GPU']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1783,"@user @user vai caçar uma rola, vai mulambo.",obscene,7.0,"['@user', '@user', 'vai', 'caçar', 'uma', 'rola', ',', 'vai', 'mulambo', '.']","[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]"
11939,"@user @user @user vamos ver na justiça quem é verme e aberração ok
já tenho os prints dos seus xingamentos",insult,3.0,"['@user', '@user', '@user', 'vamos', 'ver', 'na', 'justiça', 'quem', 'é', 'verme', 'e', 'aberração', 'ok', '\n', 'já', 'tenho', 'os', 'prints', 'dos', 'seus', 'xingamentos']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18276,@user caralho perfil de corintiano é muita vergonha alheia puta mersda gostei,insult,2.0,"['@user', 'caralho', 'perfil', 'de', 'corintiano', 'é', 'muita', 'vergonha', 'alheia', 'puta', 'mersda', 'gostei']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
11564,"se curti drogas, vamos transar e cheirar junto? sua buceta = 2 pinos — ma va pro diabo https://t.co/owlqkoeora",misogyny,6.0,"['se', 'curti', 'drogas', ',', 'vamos', 'transar', 'e', 'cheirar', 'junto', '?', 'sua', 'buceta', '=', '2', 'pinos', '—', 'ma', 'va', 'pro', 'diabo', 'https://t.co/owlqkoeora']","[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
11911,"@user @user @user mds, novamente, porra novamente, nada novo, nada muda. a mesma emoção, sempre o mesmo",obscene,2.0,"['@user', '@user', '@user', 'mds', ',', 'novamente', ',', 'porra', 'novamente', ',', 'nada', 'novo', ',', 'nada', 'muda', '.', 'a', 'mesma', 'emoção', ',', 'sempre', 'o', 'mesmo']","[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1291,"A JP devia ter vergonha na cara e tirar fefrito e edgard do morning show.
Só não caiu pra zero de audiência por causa do Caio, mas se tirar o Caio, fica com audiência negativa!
Parece piada, mas os dois são tão ruins que podem, mesmo, negativar!",insult,2.0,"['A', 'JP', 'devia', 'ter', 'vergonha', 'na', 'cara', 'e', 'tirar', 'fefrito', 'e', 'edgard', 'do', 'morning', 'show', '.', '\n', 'Só', 'não', 'caiu', 'pra', 'zero', 'de', 'audiência', 'por', 'causa', 'do', 'Caio', ',', 'mas', 'se', 'tirar', 'o', 'Caio', ',', 'fica', 'com', 'audiência', 'negativa', '!', '\n', 'Parece', 'piada', ',', 'mas', 'os', 'dois', 'são', 'tão', 'ruins', 'que', 'podem', ',', 'mesmo', ',', 'negativar', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10884,"TEM COISAS ... ""Que só um NEGÃO pode fazer pelo seu cu. 
#SINDICATODOSDIVULGADORES 
@user
@user
@user
@user
@user
@user
@user
@user
@user
@user
@user
@user
Apoio: @user https://t.co/GFBMhCWHxi",obscene,7.0,"['TEM', 'COISAS', '...', '""', 'Que', 'só', 'um', 'NEGÃO', 'pode', 'fazer', 'pelo', 'seu', 'cu', '.', '\xa0\n', '#', 'SINDICATODOSDIVULGADORES', '\n', '@user', '\n', '@user', '\n', '@user', '\n', '@user', '\n', '@user', '\n', '@user', '\n', '@user', '\n', '@user', '\n', '@user', '\n', '@user', '\n', '@user', '\n', '@user', '\n', 'Apoio', ':', '@user', 'https://t.co/GFBMhCWHxi']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
